
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 5000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
509 23.64933 14 13 4 309.79272 0.03110923
510 23.49933 14 13 4 310.40308 0.03110923
511 23.34933 14 13 4 311.01343 0.03110923
512 23.199331 14 13 4 311.62378 0.03110923
513 23.049332 14 13 4 312.23413 0.03110923
514 22.899332 14 13 4 312.84448 0.03110923
515 22.749332 14 13 4 313.45483 0.03110923
516 22.599333 14 13 4 314.06534 0.04667288
517 22.449333 14 13 4 314.98074 0.03464867
518 22.299334 14 13 4 315.65213 0.034199335
519 22.149334 14 13 4 316.32352 0.03373644
520 21.999334 14 13 4 316.9949 0.033234596
521 21.849335 14 13 4 317.6663 0.03272112
522 21.699335 14 13 4 318.33768 0.032212514
523 21.549335 14 13 4 318.97824 0.031659182
524 21.399336 14 13 4 319.5886 0.031076323
525 21.249336 14 13 4 320.19894 0.03048573
526 21.099337 14 13 4 320.80945 0.046077255
527 20.949337 14 13 4 321.72482 0.02967504
528 20.799337 14 13 4 322.3351 0.02410823
529 20.649338 14 13 4 322.8234 0.024091164
530 20.499338 14 13 4 323.31168 0.024033258
531 20.349339 14 13 4 323.79996 0.02401879
532 20.199339 14 13 4 324.28824 0.023963593
533 20.04934 14 13 4 324.77652 0.023946434
534 19.89934 14 13 4 325.2648 0.023894114
535 19.74934 14 13 4 325.75314 0.031115333
536 19.59934 14 13 4 326.3635 0.031118413
537 19.44934 14 13 4 326.97385 0.031118413
538 19.299341 14 13 4 327.5842 0.031118413
539 19.149342 14 13 4 328.19455 0.031118413
540 18.999342 14 13 4 328.8049 0.031118413
541 18.849342 14 13 4 329.41525 0.031118413
542 18.699343 14 13 4 330.0256 0.031121505
543 18.549343 14 13 6 330.6361 0.04667282
544 18.399343 14 13 6 331.55148 0.031108856
545 18.249344 14 13 6 332.16183 0.031108856
546 18.099344 14 13 6 332.7722 0.031108856
547 17.949345 14 13 6 333.38254 0.031108856
548 17.799345 14 13 6 333.9929 0.031108856
549 17.649345 14 13 6 334.60324 0.031108856
550 17.499346 14 13 6 335.2136 0.031108856
551 17.349346 14 13 6 335.82394 0.031108856
552 17.199347 14 13 6 336.43433 0.03206743
553 17.049347 14 13 6 337.06018 0.031109564
