
----QMATRIX: [Sensed Threat] > ACTION == UTILITY------
eration Qty: 1000.0
Learning Rate: 0.1
Discount Factor: 0.9
Decay: 0.15
Max View Distance: 10.0

-----SIMULATION STEPS------
Steps | Exploration Rate | QMatrix Size | Crashes | Victories | Distance Moved | Speed
279 58.149574 10 4 10 179.1706 0.023576712
280 57.999573 10 4 10 179.62859 0.04643545
281 57.84957 10 4 10 180.55106 0.031129222
282 57.69957 10 4 10 181.16142 0.03155956
283 57.54957 10 4 10 181.78755 0.031019758
284 57.399567 10 4 10 182.39777 0.016829226
285 57.249565 11 5 10 182.71664 0.03207671
286 57.099564 11 5 10 183.35754 0.03467424
287 56.949562 11 5 10 184.05942 0.031848043
288 56.79956 11 5 10 184.70044 0.046654873
289 56.64956 11 5 10 185.64616 0.015575296
290 56.499557 12 5 10 185.95142 0.023339977
291 56.349556 12 5 10 186.40929 0.034215968
292 56.199554 12 5 10 187.08064 0.031105598
293 56.049553 12 5 10 187.69101 0.03157635
294 55.89955 12 5 10 188.3319 0.033702936
295 55.74955 13 5 10 189.00317 0.023393685
296 55.59955 13 5 10 189.46101 0.031111015
297 55.449547 13 5 10 190.07121 0.015723784
298 55.299545 13 5 10 190.37654 0.031108156
299 55.149544 13 5 10 190.98692 0.033385016
300 54.999542 13 5 10 191.65813 0.015808364
301 54.84954 14 5 10 191.96338 0.023412399
302 54.69954 14 6 10 192.42236 0.034785025
303 54.549538 14 6 10 193.12422 0.031110546
304 54.399536 14 6 10 193.73462 0.034504194
305 54.249535 14 6 10 194.42908 0.034173857
306 54.099533 14 6 10 195.10045 0.031572264
307 53.94953 15 6 10 195.74123 0.023355233
308 53.79953 15 6 10 196.19907 0.031112265
309 53.64953 15 6 10 196.80959 0.04663842
310 53.499527 15 6 10 197.7555 0.033685677
311 53.349525 16 6 10 198.4267 0.015710717
312 53.199524 16 6 10 198.73203 0.031110048
313 53.049522 16 6 10 199.3424 0.033359703
314 52.89952 17 7 10 200.01413 0.034546606
315 52.74952 17 7 10 200.71484 0.031780448
316 52.599518 17 7 10 201.35573 0.03409807
317 52.449516 17 7 10 202.02711 0.033778116
318 52.299515 17 7 10 202.6985 0.03345168
319 52.149513 17 7 10 203.36986 0.031104458
320 51.99951 18 7 10 203.98021 0.031104458
321 51.84951 19 7 10 204.59048 0.023399072
322 51.69951 19 7 10 205.04832 0.031103354
323 51.549507 19 7 10 205.65868 0.031103354
324 51.399506 19 7 10 206.26903 0.031103354
325 51.249504 19 7 10 206.87938 0.031189634
326 51.099503 19 7 10 207.48973 0.031116152
327 50.9495 19 7 10 208.10011 0.032944202
328 50.7995 19 7 10 208.74562 0.032524068
329 50.649498 20 7 10 209.38664 0.04648562
330 50.499496 21 7 10 210.33252 0.031119753
331 50.349495 21 7 10 210.94289 0.03199995
332 50.199493 21 7 10 211.5836 0.016321778
333 50.04949 21 7 10 211.91943 0.030410506
334 49.89949 21 7 10 212.52965 0.016390651
335 49.74949 21 7 10 212.86565 0.04638178
336 49.599487 21 7 10 213.81154 0.03136704
337 49.449486 21 7 10 214.42511 0.030787066
338 49.299484 21 7 10 215.03561 0.046145167
339 49.149483 21 7 10 215.95099 0.030019784
340 48.99948 21 7 10 216.5612 0.017512463
341 48.84948 21 7 10 216.89702 0.029619964
342 48.69948 21 7 10 217.47685 0.028951516
343 48.549477 21 7 10 218.05685 0.045673843
344 48.399475 21 7 10 218.97223 0.031117387
345 48.249474 21 7 10 219.58255 0.027878627
346 48.099472 21 7 10 220.13188 0.02811717
347 47.94947 21 7 10 220.7002 0.026669597
348 47.79947 21 7 10 221.22775 0.025819048
349 47.649467 21 7 10 221.74654 0.024950247
350 47.499466 22 7 10 222.23502 0.044086274
351 47.349464 23 7 10 223.11984 0.026370928
352 47.199463 23 7 10 223.63861 0.02286226
353 47.04946 23 7 10 224.09636 0.021935878
354 46.89946 24 8 10 224.63896 0.03458061
355 46.74946 25 8 10 225.34099 0.04665451
356 46.599457 25 8 10 226.28691 0.034275282
357 46.449455 26 8 10 226.96007 0.03397155
358 46.299454 26 8 10 227.63142 0.031115258
359 46.149452 26 8 10 228.24178 0.031115258
360 45.99945 26 8 10 228.85197 0.015659157
361 45.84945 26 8 10 229.15733 0.03367756
362 45.699448 26 8 10 229.82869 0.031112976
363 45.549446 26 8 10 230.43907 0.033318434
364 45.399445 26 8 10 231.11046 0.032936376
365 45.249443 26 8 10 231.75552 0.03253939
366 45.09944 26 8 10 232.39638 0.030663962
367 44.94944 26 8 10 233.00688 0.046468996
368 44.79944 27 8 10 233.92218 0.023545817
369 44.649437 27 8 10 234.38002 0.030528143
370 44.499435 27 8 10 234.99052 0.046436135
371 44.349434 27 8 10 235.90591 0.031577196
372 44.199432 27 8 10 236.54677 0.031076323
373 44.04943 27 8 10 237.15712 0.030591002
374 43.89943 27 8 10 237.76747 0.031112265
375 43.749428 28 8 10 238.37782 0.031112265
376 43.599426 29 8 10 238.98817 0.030068727
377 43.449425 29 8 10 239.59839 0.017429534
378 43.299423 29 8 10 239.93408 0.017310247
